table	row	source_bed	lines	bytes	mtime	sha256_1MB	producer_job	threads	period_range	elapsed	peak_rss_gb_sacct	node	scorer	scorer_sha	scoring_rule	repo_commit
1d-superseded	BWTandem-H	(PENDING job 6129408)	-	-	-	-	6129408	4	1-100 native	-	-	-	score_table1_regen.py	b85820bebdd1f139	SUPERSEDED — job 6129408 failed at startup (batch state FAILED; the extern OUT_OF_MEMORY state alone does not establish the cause; see sacct_provenance.txt) and was resubmitted. The completed replacement rows appear later in this file. withheld pending native commit-0363d8b operating-point regeneration	0363d8b
sweep-superseded	id-off	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/idsweep_off.bed	2766054	156550844	2026-08-06T06:31:56	7cf519395efc037e	5994683	4	1-2000	1-09:59:55	37.64	cpu-49	score_table1_remeas.py	0ec76dd5a9ddffb6	full range, chr1-22XY; v2.2 gate, catch-all OFF, MIN_COPIES 3	0e17d1a+outputfixes
sweep-superseded	id-0.80	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/idsweep_0.80.bed	3299760	179909563	2026-08-06T13:20:02	e0d36da7d2818f8f	5994683	4	1-2000	1-09:59:55	37.64	cpu-49	score_table1_remeas.py	0ec76dd5a9ddffb6	full range, chr1-22XY; v2.2 gate, catch-all id 0.80 MIN_COPIES 3	0e17d1a+outputfixes
sweep-superseded	id-0.76	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/idsweep_0.76.bed	3317408	180887710	2026-08-06T20:26:39	fa811234be7398d5	5994683	4	1-2000	1-09:59:55	37.64	cpu-49	score_table1_remeas.py	0ec76dd5a9ddffb6	full range, chr1-22XY; v2.2 gate, catch-all id 0.76 MIN_COPIES 3	0e17d1a+outputfixes
sweep-superseded	id-0.72	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/idsweep_0.72.bed	4009297	210909179	2026-08-07T03:08:54	9ff3adf57663f925	5994683	4	1-2000	1-09:59:55	37.64	cpu-49	score_table1_remeas.py	0ec76dd5a9ddffb6	full range, chr1-22XY; v2.2 gate, catch-all id 0.72 MIN_COPIES 3	0e17d1a+outputfixes
sweep-superseded	id-0.68	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/idsweep_0.68.bed	4216900	221051905	2026-08-07T09:54:43	cd777ec7f2517a05	5994683	4	1-2000	1-09:59:55	37.64	cpu-49	score_table1_remeas.py	0ec76dd5a9ddffb6	full range, chr1-22XY; v2.2 gate, catch-all id 0.68 MIN_COPIES 3	0e17d1a+outputfixes
2	BWTandem	results/beds/bwtandem_colcen.bed.gz	161330	2671940	2026-08-29T11:58:27	29c3480b6a5bfcf5	6110900	2	1-2000	00:40:11	2.16	cpu-49	score_colcen.py	585d55558609d6e5	regenerated revised-method result; unfiltered plus 150-200 and 150-400 validation bands	0363d8b
2	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/Col-CEN_v1.2_output.bed	27626	16132281	2026-07-22T03:15:53	e7d20040ef1afaac	published	-	max 200 (no min-period parameter)				score_colcen.py	60d20caf95230bf6	unfiltered; band 150-200 for CEN180 count	0e17d1a
2	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_colcen_p500.bed	150521	6540991	2026-08-03T22:52:36	ebce24f4a4205e64	5981977	2	1-500 (re-run)	10:07:11	4.20	cpu-51	score_colcen.py	60d20caf95230bf6	unfiltered; supersedes the -p 100 run	0e17d1a
2	mreps	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/mreps_colcen_150_400.bed	27762	15060214	2026-08-03T12:30:15	1617037fc3652759	5981987	1	150-400 (re-run)	00:06:57	0.17	cpu-51	score_colcen.py	60d20caf95230bf6	unfiltered; supersedes the maxp-6 run	0e17d1a
2	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/Col-CEN_v1.2_output.bed	139086	5202216	2026-07-22T03:16:48	018033b6cfed606a	published	-	n/a				score_colcen.py	60d20caf95230bf6	unfiltered	0e17d1a
3A	BWTandem	results/beds/bwtandem_maize.bed.gz	2406800	44253821	2026-08-29T11:59:07	0bdb56dbe4339904	6124640	2	1-2000	15:51:03	28.45	cpu-51	score_maize_3a.py	bcc4992b51986109	regenerated BED; published mixed rule and consistent 1-6 band both rescored	0363d8b
3A	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3A_microsatellite.bed	29559	5921688	2026-07-22T03:15:53	e567a8c7e018475f	published	-	6				score_maize_3a.py	bcc4992b51986109	unfiltered as published; band 1-6 in 3A-b	0e17d1a
3A	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3A.bed	1114556	47575141	2026-08-03T10:46:05	a4f36bcb7535f560	published (recovered)	2	6				score_maize_3a.py	bcc4992b51986109	unfiltered as published; band 1-6 in 3A-b	0e17d1a
3A	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_tantan_exp3A_microsatellite.bed	1303967	68279539	2026-07-22T03:16:28	6d3f58061cacf437	published	-	n/a				score_maize_3a.py	bcc4992b51986109	unfiltered as published (this file is not experiment-specific); band 1-6 in 3A-b	0e17d1a
3A	NCRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite.bed	214	2613014	2026-07-22T03:16:42	28b5bd392f3cad1c	published	-	motif-guided				score_maize_3a.py	bcc4992b51986109	unfiltered	0e17d1a
3A	TRASH-dn	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite.bed	3034	512556	2026-07-22T03:16:42	c4972ac819ae1658	published	-	n/a				score_maize_3a.py	bcc4992b51986109	unfiltered	0e17d1a
3B	BWTandem	results/beds/bwtandem_maize.bed.gz	2406800	44253821	2026-08-29T11:59:07	0bdb56dbe4339904	6124640	2	1-2000	15:51:03	28.45	cpu-51	rescore_tables_3bc.py	39d30894d5a5c295	hard-validated legacy Table 3B convention applied to regenerated BED; scorer_sha names the historical producer at /data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/rescore_tables_3bc.py (the path in table3bc_provenance.json), not the later path-configurable repository copy (sha256 prefix e5202778dcf4a149). Corrects the unverifiable recorded prefix 39d308a0799f7e1f.	0363d8b
3B	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed	831497	200918916	2026-07-22T03:15:55	bcb1c4b04a39d7d6	published	-	500				score_maize_consistent.py	33c8c79529a3f409	both rules reported	0e17d1a
3B	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed	1891671	114085554	2026-08-03T10:46:14	0fbad9498cb9759c	published (recovered)	2	500				score_maize_consistent.py	33c8c79529a3f409	both rules reported	0e17d1a
3B	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_tantan_exp3B_satellite.bed	1303967	68279539	2026-07-22T03:16:47	6d3f58061cacf437	published	-	n/a				score_maize_consistent.py	33c8c79529a3f409	both rules reported	0e17d1a
3B	TRASH	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed	3029	509733	2026-07-22T03:16:43	7063df9bb342346b	published	-	n/a				score_trash_maize.py	626f7751fe9a1d31	four rules reported	0e17d1a
3C	BWTandem	results/beds/bwtandem_maize.bed.gz	2406800	44253821	2026-08-29T11:59:07	0bdb56dbe4339904	6124640	2	1-2000	15:51:03	28.45	cpu-51	rescore_tables_3bc.py	39d30894d5a5c295	hard-validated legacy Table 3C convention applied to regenerated BED; scorer_sha names the historical producer at /data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/rescore_tables_3bc.py (the path in table3bc_provenance.json), not the later path-configurable repository copy (sha256 prefix e5202778dcf4a149). Corrects the unverifiable recorded prefix 39d308a0799f7e1f.	0363d8b
3C	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed	796981	149837940	2026-07-22T03:15:58	5da0a088d1d83ef0	published	-	200				score_maize_consistent.py	33c8c79529a3f409	both rules reported	0e17d1a
3C	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed	1895076	112523993	2026-08-03T10:46:22	879b3a05e22cffda	published (recovered)	2	200				score_maize_consistent.py	33c8c79529a3f409	both rules reported	0e17d1a
3C	TRASH	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc.bed	3019	507355	2026-07-22T03:16:42	14efbb4456712851	published	-	n/a				score_trash_maize.py	626f7751fe9a1d31	four rules reported	0e17d1a
range-cost-superseded	BWTandem p1-2000 t4	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/bwt_hg38_catchF_t4p2000.bed	4009261	219727246	2026-08-05T06:54:25	66848fae9032c571	5983772	4	1-2000	07:22:38	35.29	cpu-51	-	-	superseded cost-only arm at 07ad6fa, paired with unlisted narrow-arm job 5981960; --max-period did not bound Tier 3, so the narrow arm performed the long-period search and discarded its output; historical RSS transcription 35.28 corrected from deposited sacct 37003216 KiB using KiB/1024^2 GiB	07ad6fa
1e	all rows	(same source BEDs as table 1a)	-	-	-	-	6110901	-	-	-	-	-	score_table1_regen.py	b85820bebdd1f139	catalog-or-cross-tool support rates; published and symmetric leave-one-out rules	0363d8b
ablation	gapfill base	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/colcen_abl_base.bed	111796	7346838	2026-08-04T23:41:35	156cfa574a8a53cf	5983739	2	1-2000				score_colcen.py	60d20caf95230bf6	Col-CEN gap-fill ablation, defaults arm; base for the deltas in Section 3.2	0e17d1a
ablation	gapfill off	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/colcen_abl_off.bed	111277	7226317	2026-08-05T00:15:14	e4f9496c13ffd4a6	5983739	2	1-2000				score_colcen.py	60d20caf95230bf6	Col-CEN gap-fill ablation, SAT_FILL_MIN_IDENTITY=1.01 (pass disabled)	0e17d1a
ablation	gapfill away	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/colcen_abl_away.bed	111549	7403618	2026-08-05T00:49:59	ad4378cce0a64976	5983739	2	1-2000				score_colcen.py	60d20caf95230bf6	Col-CEN gap-fill ablation, period window moved to 400-1000 bp	0e17d1a
3B-b/3C-b	all rows	(same source BEDs as tables 3B and 3C)	-	-	-	-	-	-	-				score_maize_consistent.py	33c8c79529a3f409	unfiltered and banded rules, all de novo tools; banded = 100-500 for knob180/TR-1, 100-200 for CentC	0e17d1a
2	NCRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/Col-CEN_v1.2_output.bed	74	12277692	2026-07-22T03:16:42	b0f191d9d32fd7d8	published	—	—	—	—	—	score_colcen.py	60d20caf95230bf6	unfiltered; consensus-guided, no per-call period	0e17d1a
2	TRASH-dn	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/Col-CEN_v1.2_trash_denovo.bed	234	50595	2026-07-22T03:16:43	fbe32dc897552f75	published	—	—	—	—	—	score_colcen.py	60d20caf95230bf6	unfiltered; band 150-200 for CEN180 count	0e17d1a
2	TRASH-tpl	results/regen/colcen_trash_template_union.bed	397	93122	2026-09-03T16:23:08	3128616661de17d4	published	—	—	—	—	—	score_colcen.py	585d55558609d6e5	template-only union of the CEN159 and CEN178 runs (sort -u, 470 -> 397); the 591-line Col-CEN_v1.2_trash.bed it replaces also contained the de novo output; template-only rescoring on 2026-09-03 uses the current LABEL:PATH scorer; supersedes the old scorer hash as well as the mixed-source BED	0e17d1a
3A	TRASH-tpl	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite.bed	3016	507400	2026-07-22T03:16:43	b99401bb75b1c25f	published	—	—	—	—	—	score_maize_3a.py	bcc4992b51986109	unfiltered	0e17d1a
3B	TRASH-tpl	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite.bed	3027	508476	2026-07-22T03:16:43	40c7fd8562bd2610	published	—	—	—	—	—	score_maize_consistent.py	33c8c79529a3f409	unfiltered (knob180 template — the file the published cells reproduce from; TR-1 template deposited alongside)	0e17d1a
3C	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_tantan_exp3C_centc.bed	1303967	68279539	2026-07-22T03:16:42	6d3f58061cacf437	published	—	—	—	—	—	score_maize_consistent.py	33c8c79529a3f409	unfiltered (byte-identical to the 3A/3B tantan copies)	0e17d1a
3B-b/3C-b	BWTandem-rescore	results/beds/bwtandem_maize.bed.gz	2406800	44253821	2026-08-29T11:59:07	0bdb56dbe4339904	6124640	2	1-2000	15:51:03	28.45	cpu-51	rescore_tables_3bc.py	39d30894d5a5c295	unfiltered and banded rules under hard-validated legacy convention; scorer_sha names the historical producer at /data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/rescore_tables_3bc.py (the path in table3bc_provenance.json), not the later path-configurable repository copy (sha256 prefix e5202778dcf4a149). Corrects the unverifiable recorded prefix 39d308a0799f7e1f.	0363d8b
flanks-superseded	flank-periodicity	(old BED; not reported)	2405401	—	—	—	5982782	—	—	—	—	—	analyze_maize_flanks.py	—	max autocorr identity over 180/358/156 bp; flanks >=716 bp; 400 intergenic background segments	0e17d1a
S2-superseded	unique-calls	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/out/bwt_hg38_catchF_p100.bed	3991847	—	—	—	5985651	4	1-100	—	—	—	analyze_unique_regions.py	—	unique-vs-shared characterisation; requires the corrected period_of (integer col 5, else motif length) — job 5982703 predates it and reverses the period rows; SUPERSEDED by native F/P characterization in results/regen/s2_F_p100.txt and s2_P_p100.txt (source paths printed in those reports)	0e17d1a
range-rep-superseded	p100-r1	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/rep1_p100.bed	3991867	—	—	—	6076848	4	1-100	06:36:45	36.75	cpu-51	—	—	superseded range-cost replicate at 07ad6fa; --max-period did not bound Tier 3, so this narrow arm performed the long-period search and discarded its output; historical RSS transcription 38.53 corrected from deposited sacct 38531252 KiB using KiB/1024^2 GiB	07ad6fa
range-rep-superseded	p2000-r1	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/rep1_p2000.bed	4009297	—	—	—	6076849	4	1-2000	08:36:35	41.81	cpu-51	—	—	superseded range-cost replicate at 07ad6fa; --max-period did not bound Tier 3, making its ratio against the narrow arm too favourable; historical RSS transcription 43.85 corrected from deposited sacct 43845032 KiB using KiB/1024^2 GiB	07ad6fa
range-rep-superseded	p100-r2	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/rep2_p100.bed	3991867	—	—	—	6076850	4	1-100	06:34:45	36.31	cpu-51	—	—	superseded range-cost replicate at 07ad6fa; --max-period did not bound Tier 3, so this narrow arm performed the long-period search and discarded its output; historical RSS transcription 38.07 corrected from deposited sacct 38068908 KiB using KiB/1024^2 GiB	07ad6fa
range-rep-superseded	p2000-r2	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/rep2_p2000.bed	4009297	—	—	—	6076851	4	1-2000	08:34:32	41.01	cpu-51	—	—	superseded range-cost replicate at 07ad6fa; --max-period did not bound Tier 3, making its ratio against the narrow arm too favourable; historical RSS transcription 43.00 corrected from deposited sacct 43000460 KiB using KiB/1024^2 GiB	07ad6fa
range-rep-superseded	p100-r3	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/rep3_p100.bed	3991867	—	—	—	6076852	4	1-100	05:29:56	38.11	cpu-48	—	—	superseded range-cost replicate at 07ad6fa; --max-period did not bound Tier 3, so this narrow arm performed the long-period search and discarded its output; historical RSS transcription 39.96 corrected from deposited sacct 39962784 KiB using KiB/1024^2 GiB	07ad6fa
range-rep-superseded	p2000-r3	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/rep3_p2000.bed	4009297	—	—	—	6076853	4	1-2000	07:44:44	36.55	cpu-48	—	—	superseded range-cost replicate at 07ad6fa; --max-period did not bound Tier 3, making its ratio against the narrow arm too favourable; historical RSS transcription 38.32 corrected from deposited sacct 38323992 KiB using KiB/1024^2 GiB	07ad6fa
range-cost	TRF-p2000-attempt	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/trf_hg38_p2000.ngs.dat	379077	—	—	—	6076847	1	2-2000	6-13:57:48 (CANCELLED, incomplete)	—	cpu-51	—	—	post-hoc TRF max-period-2000 human run, author-cancelled incomplete at a lower bound of 4.7x the completed 500bp wall clock, not a speed ratio; partial -ngs output only, not scored	—
range-cost	ULTRA-p2000-attempt	/data/gpfs/assoc/pgl/devel/exp1_human/regen/ultra_p2000/ultra_human_p2000.tsv	138426	9781248	2026-09-02T09:49:21	c30692f4351e9a0d	6145581	2	1-2000	1-22:15:07 (CANCELLED, incomplete)	17.14	cpu-50	—	—	post-hoc ULTRA max-period-2000 human run. Matched to the published p100 row by invocation, by -t 2, and by sequence content — but NOT by artefact: the published run used the Singularity sandbox binary (638,912 bytes) and this used a local micromamba install (573,672 bytes); the two are different files that both self-report 1.2.1, so the version match is a self-reported string. The FASTAs carry the same 3,209,286,105 bases under different accession headers. Author-cancelled incomplete after 1 d 22 h 15 m; its elapsed is at least 1.55x the completed 29.8 h p100 run, a lower bound on a terminated run and not a speed ratio. 138,425 complete records plus one truncated fragment, all on chr1 (NC_000001.11); the last complete record ends at 124,785,432 and the fragment's End field reads 124,786,615. Output stopped growing for the final 5 h; the LAST EMITTED position lies in the chr1 centromeric satellite, which is not evidence about where the stall itself occurred. lines=138426 is a newline count including the header. Partial TSV, not scored. Evidence: results/range_cost_attempts/ultra_p2000/	—
2	tantan (500bp re-run)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_colcen_w500.bed	148047	8209113	2026-08-17T15:38:59	403de19d189c80b3	6085141	2	1-500	00:12:01	0.10	cpu-50	score_colcen.py	60d20caf95230bf6	Chr1-5; DA C3 re-run, -w 500; allocated 2 CPUs, one active thread (99% CPU in the GNU-time log)	294f8ac
3B	tantan (500bp re-run)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed	1327623	79696762	2026-08-17T18:36:17	dcb0f2be8589a18e	6085142	2	1-500	03:17:00	0.48	cpu-50	score_maize_consistent.py	c6a03d6bf342d564	both rules; DA C3 re-run, -w 500; allocated 2 CPUs, one active thread (99% CPU in the GNU-time log)	294f8ac
3C	tantan (200bp re-run)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed	1317802	74072536	2026-08-17T16:37:18	dac709b54de23f28	6085143	2	1-200	01:22:50	0.37	cpu-51	score_maize_consistent.py	c6a03d6bf342d564	both rules; DA C3 re-run, -w 200; allocated 2 CPUs, one active thread (99% CPU in the GNU-time log)	294f8ac
1c	tantan (2000bp re-run)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_human_w2000.bed	3302505	147035675	2026-08-18T10:29:27	83959e1948be88b6	6085144	2	1-2000	19:13:30	0.91	cpu-51	score_table1_remeas.py	0ec76dd5a9ddffb6	extra row, never a corroborator; -w 2000; allocated 2 CPUs, one active thread (99% CPU in the GNU-time log)	294f8ac
1a	BWTandem (released)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/released/rel_main.bed	4009297	210909179	2026-08-18T07:28:03	308ee71c49eaeb9d	6085147	2	1-2000	16:13:56	24.84	cpu-51	score_table1_remeas.py	0ec76dd5a9ddffb6	REV-5 reproduction of 294f8ac	294f8ac
1d	BWTandem-P (released)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/released/rel_P.bed	2084470	104527332	2026-08-17T20:37:45	19e9bc7b790a4812	6085148	4	1-100	05:23:34	30.65	cpu-51	(count only)	0ec76dd5a9ddffb6	REV-5 reproduction; call count compared	294f8ac
1d	BWTandem-B (released)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/released/rel_B.bed	3408678	163659445	2026-08-17T21:46:11	48816d7184ac5582	6085149	4	1-100	06:32:00	38.55	cpu-51	(count only)	0ec76dd5a9ddffb6	REV-5 reproduction; call count compared	294f8ac
1d	BWTandem-F (released)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/released/rel_F.bed	3991867	187373776	2026-08-18T03:09:50	e94879be482f0a08	6085150	4	1-100	06:31:53	41.14	cpu-51	(count only)	0ec76dd5a9ddffb6	REV-5 reproduction; call count compared	294f8ac
1d	BWTandem-H (released)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/released/rel_H.bed	4354071	206067127	2026-08-18T04:07:05	a2457feff4eb2892	6085151	4	1-100	06:20:28	36.64	cpu-51	(count only)	0ec76dd5a9ddffb6	REV-5 reproduction; call count compared	294f8ac
1a-superseded	BWTandem (built-in defaults)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/defaults/def_main.bed	655095	52567361	2026-08-18T20:41:42	da2215ba6c824f0d	6086503	2	1-2000	06:05:34	17.78	cpu-51	score_table1_remeas.py	0ec76dd5a9ddffb6	REV-14; no environment overrides at all	294f8ac
