table	manuscript_line	row	column	printed	artifact_value	verdict	source
1a	126	BWTandem	BP Prec. (%)	42.74	42.74	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	126	BWTandem	Unique Regions	893,480	893480	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	126	BWTandem	Runtime (h)	12.6	12.645	REJECTED	sacct:6110901.batch
1a	126	BWTandem	Memory (GiB)	28.08	28.0837554931640625	REJECTED	sacct:6110901.batch
1a	127	tantan	Regions	3,319,523	3319523	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	Region Recall (%)	78.00	78.00	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	Region Prec. (%)	57.66	57.66	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	Support rate (%)	82.93	82.93	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	BP Recall (%)	23.54	23.54	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	BP Prec. (%)	70.22	70.22	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	Unique Regions	518,443	518488	CONFIRMED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	127	tantan	Runtime (h)	0.9	0.8630388888888888888888888889	REJECTED	results/competitor_logs/tantan__GCA_000001405.15_GRCh38_genomic_run.log
1a	127	tantan	Memory (GiB)	0.27	0.268283843994140625	REJECTED	results/competitor_logs/tantan__GCA_000001405.15_GRCh38_genomic_run.log
1a	128	TRASH	Regions	5,134	5134	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	Region Recall (%)	1.16	1.16	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	Region Prec. (%)	95.25	95.25	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	Support rate (%)	99.86	99.86	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	BP Recall (%)	10.24	10.24	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	BP Prec. (%)	24.96	24.96	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	Unique Regions	0	0	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	128	TRASH	Runtime (h)	107.6	107.6266666666666666666666667	REJECTED	results/competitor_logs/trash__GCA_000001405.15_GRCh38_genomic_run.log
1a	128	TRASH	Memory (GiB)	14.59	14.589542388916015625	REJECTED	results/competitor_logs/trash__GCA_000001405.15_GRCh38_genomic_run.log
1a	129	longdust (2026)	Regions	1,428,327	1428327	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	129	longdust (2026)	Region Recall (%)	41.16	41.16	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	129	longdust (2026)	Region Prec. (%)	57.16	57.16	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	129	longdust (2026)	BP Recall (%)	22.71	22.71	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	129	longdust (2026)	BP Prec. (%)	42.48	42.48	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	129	longdust (2026)	Runtime (h)	0.47	0.4654194444444444444444444444	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_human_default.time
1a	129	longdust (2026)	Memory (GiB)	0.47	0.4688262939453125	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_human_default.time
1a	130	longdust `-k8 -w20000` (2026)	Regions	1,154,976	1154976	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	130	longdust `-k8 -w20000` (2026)	Region Recall (%)	35.42	35.42	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	130	longdust `-k8 -w20000` (2026)	Region Prec. (%)	60.08	60.08	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	130	longdust `-k8 -w20000` (2026)	BP Recall (%)	20.74	20.74	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	130	longdust `-k8 -w20000` (2026)	BP Prec. (%)	40.06	40.06	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	130	longdust `-k8 -w20000` (2026)	Runtime (h)	2.01	2.01	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_human_k8w20000.time
1a	130	longdust `-k8 -w20000` (2026)	Memory (GiB)	0.47	0.4685821533203125	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_human_k8w20000.time
1a	131	AniAnn's (2026)	Regions	364	364	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	131	AniAnn's (2026)	Region Recall (%)	0.10	0.10	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	131	AniAnn's (2026)	Region Prec. (%)	83.79	83.79	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	131	AniAnn's (2026)	BP Recall (%)	3.85	3.85	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	131	AniAnn's (2026)	BP Prec. (%)	12.46	12.46	REJECTED	results/comparators2026/score_2026_human.txt: BASELINE
1a	131	AniAnn's (2026)	Runtime (h)	2.32	2.320277777777777777777777778	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_human.time
1a	131	AniAnn's (2026)	Memory (GiB)	0.53	0.525188446044921875	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_human.time
1b	137	ULTRA	Regions	3,216,710	3216710	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	137	ULTRA	Region Recall (%)	81.62	81.62	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	137	ULTRA	Region Prec. (%)	53.66	53.66	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	137	ULTRA	BP Recall (%)	38.14	38.14	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	137	ULTRA	BP Prec. (%)	61.33	61.33	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	138	BWTandem	Regions	3,911,182	3911182	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	138	BWTandem	Region Recall (%)	78.87	78.87	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	138	BWTandem	Region Prec. (%)	50.13	50.13	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	138	BWTandem	BP Recall (%)	30.00	30.00	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	138	BWTandem	BP Prec. (%)	53.89	53.89	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	139	tantan	Regions	3,319,523	3319523	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	139	tantan	Region Recall (%)	78.00	78.00	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	139	tantan	Region Prec. (%)	57.66	57.66	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	139	tantan	BP Recall (%)	23.54	23.54	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	139	tantan	BP Prec. (%)	70.22	70.22	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	140	TRF	Regions	912,084	912084	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	140	TRF	Region Recall (%)	30.80	30.80	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	140	TRF	Region Prec. (%)	94.73	94.73	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	140	TRF	BP Recall (%)	20.81	20.81	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	140	TRF	BP Prec. (%)	93.16	93.16	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	141	TRASH	Regions	3,707	3707	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	141	TRASH	Region Recall (%)	0.91	0.91	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	141	TRASH	Region Prec. (%)	96.98	96.98	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	141	TRASH	BP Recall (%)	5.01	5.01	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	141	TRASH	BP Prec. (%)	54.49	54.49	REJECTED	results/regen/score_table1_p100.txt: MATCHED RANGE
1b	142	AniAnn's (2026)	Regions	114	114	REJECTED	results/comparators2026/score_2026_human.txt: MATCHED
1b	142	AniAnn's (2026)	Region Recall (%)	0.01	0.01	REJECTED	results/comparators2026/score_2026_human.txt: MATCHED
1b	142	AniAnn's (2026)	Region Prec. (%)	85.09	85.09	REJECTED	results/comparators2026/score_2026_human.txt: MATCHED
1b	142	AniAnn's (2026)	BP Recall (%)	0.92	0.92	REJECTED	results/comparators2026/score_2026_human.txt: MATCHED
1b	142	AniAnn's (2026)	BP Prec. (%)	54.50	54.50	REJECTED	results/comparators2026/score_2026_human.txt: MATCHED
1c	148	BWTandem	Regions	102,926	102926	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	148	BWTandem	Region Recall (%)	3.43	3.43	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	148	BWTandem	Region Prec. (%)	64.60	64.60	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	148	BWTandem	BP Recall (%)	13.39	13.39	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	148	BWTandem	BP Prec. (%)	29.25	29.25	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	149	TRF	Regions	50,753	50753	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	149	TRF	Region Recall (%)	2.02	2.02	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	149	TRF	Region Prec. (%)	97.18	97.18	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	149	TRF	BP Recall (%)	11.83	11.83	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	149	TRF	BP Prec. (%)	31.19	31.19	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	150	tantan (2,000 bp re-run)	Regions	37,700	37700	REJECTED	results/regen/score_table1_p100.txt: STRATUM tantan-w2000
1c	150	tantan (2,000 bp re-run)	Region Recall (%)	0.61	0.61	REJECTED	results/regen/score_table1_p100.txt: STRATUM tantan-w2000
1c	150	tantan (2,000 bp re-run)	Region Prec. (%)	47.29	47.29	REJECTED	results/regen/score_table1_p100.txt: STRATUM tantan-w2000
1c	150	tantan (2,000 bp re-run)	BP Recall (%)	4.82	4.82	REJECTED	results/regen/score_table1_p100.txt: STRATUM tantan-w2000
1c	150	tantan (2,000 bp re-run)	BP Prec. (%)	18.65	18.65	REJECTED	results/regen/score_table1_p100.txt: STRATUM tantan-w2000
1c	151	AniAnn's (2026)	Regions	205	205	REJECTED	results/comparators2026/score_2026_human.txt: STRATUM
1c	151	AniAnn's (2026)	Region Recall (%)	0.03	0.03	REJECTED	results/comparators2026/score_2026_human.txt: STRATUM
1c	151	AniAnn's (2026)	Region Prec. (%)	81.46	81.46	REJECTED	results/comparators2026/score_2026_human.txt: STRATUM
1c	151	AniAnn's (2026)	BP Recall (%)	2.69	2.69	REJECTED	results/comparators2026/score_2026_human.txt: STRATUM
1c	151	AniAnn's (2026)	BP Prec. (%)	10.03	10.03	REJECTED	results/comparators2026/score_2026_human.txt: STRATUM
1c	152	TRASH	Regions	1,427	1427	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	152	TRASH	Region Recall (%)	0.25	0.25	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	152	TRASH	Region Prec. (%)	90.75	90.75	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	152	TRASH	BP Recall (%)	5.23	5.23	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1c	152	TRASH	BP Prec. (%)	16.42	16.42	REJECTED	results/regen/score_table1_p100.txt: STRATUM
1d	160	BWTandem-P (catch-all off)	Calls	2,085,734	2085734	REJECTED	results/regen/score_table1_p100.txt: native BWT-P-p100
1d	160	BWTandem-P (catch-all off)	Region Recall (%)	54.69	54.69	REJECTED	results/regen/score_table1_p100.txt: native BWT-P-p100
1d	160	BWTandem-P (catch-all off)	Region Prec. (%)	62.16	62.16	REJECTED	results/regen/score_table1_p100.txt: native BWT-P-p100
1d	160	BWTandem-P (catch-all off)	BP Recall (%)	26.65	26.65	REJECTED	results/regen/score_table1_p100.txt: native BWT-P-p100
1d	160	BWTandem-P (catch-all off)	BP Prec. (%)	63.77	63.77	REJECTED	results/regen/score_table1_p100.txt: native BWT-P-p100
1d	160	BWTandem-P (catch-all off)	Support rate (%)	77.12	77.12	REJECTED	results/regen/score_table1_p100.txt: native BWT-P-p100
1d	160	BWTandem-P (catch-all off)	Runtime (h)	3.2	03:12:24	BLOCKED-ON-MISSING-ARTIFACT	results/manifest.tsv; original sacct absent for 6141841_0
1d	161	BWTandem-B (id 0.76)	Calls	3,410,417	3410417	REJECTED	results/regen/score_table1_p100.txt: native BWT-B-p100
1d	161	BWTandem-B (id 0.76)	Region Recall (%)	71.89	71.89	REJECTED	results/regen/score_table1_p100.txt: native BWT-B-p100
1d	161	BWTandem-B (id 0.76)	Region Prec. (%)	53.28	53.28	REJECTED	results/regen/score_table1_p100.txt: native BWT-B-p100
1d	161	BWTandem-B (id 0.76)	BP Recall (%)	31.02	31.02	REJECTED	results/regen/score_table1_p100.txt: native BWT-B-p100
1d	161	BWTandem-B (id 0.76)	BP Prec. (%)	58.10	58.10	REJECTED	results/regen/score_table1_p100.txt: native BWT-B-p100
1d	161	BWTandem-B (id 0.76)	Support rate (%)	78.28	78.28	REJECTED	results/regen/score_table1_p100.txt: native BWT-B-p100
1d	161	BWTandem-B (id 0.76)	Runtime (h)	4.5	04:31:17	BLOCKED-ON-MISSING-ARTIFACT	results/manifest.tsv; original sacct absent for 6143150_1
1d	162	BWTandem-F (id 0.72, ≥3 copies)	Calls	3,993,151	3993151	REJECTED	results/regen/score_table1_p100.txt: native BWT-F-p100
1d	162	BWTandem-F (id 0.72, ≥3 copies)	Region Recall (%)	79.88	79.88	REJECTED	results/regen/score_table1_p100.txt: native BWT-F-p100
1d	162	BWTandem-F (id 0.72, ≥3 copies)	Region Prec. (%)	50.62	50.62	REJECTED	results/regen/score_table1_p100.txt: native BWT-F-p100
1d	162	BWTandem-F (id 0.72, ≥3 copies)	BP Recall (%)	32.55	32.55	REJECTED	results/regen/score_table1_p100.txt: native BWT-F-p100
1d	162	BWTandem-F (id 0.72, ≥3 copies)	BP Prec. (%)	55.51	55.51	REJECTED	results/regen/score_table1_p100.txt: native BWT-F-p100
1d	162	BWTandem-F (id 0.72, ≥3 copies)	Support rate (%)	79.85	79.85	REJECTED	results/regen/score_table1_p100.txt: native BWT-F-p100
1d	162	BWTandem-F (id 0.72, ≥3 copies)	Runtime (h)	5.4	05:22:09	BLOCKED-ON-MISSING-ARTIFACT	results/manifest.tsv; original sacct absent for 6143150_2
1d	163	BWTandem-H (id 0.72)	Calls	4,355,741	4355741	REJECTED	results/regen/score_table1_p100.txt: native BWT-H-p100
1d	163	BWTandem-H (id 0.72)	Region Recall (%)	81.60	81.60	REJECTED	results/regen/score_table1_p100.txt: native BWT-H-p100
1d	163	BWTandem-H (id 0.72)	Region Prec. (%)	48.44	48.44	REJECTED	results/regen/score_table1_p100.txt: native BWT-H-p100
1d	163	BWTandem-H (id 0.72)	BP Recall (%)	33.40	33.40	REJECTED	results/regen/score_table1_p100.txt: native BWT-H-p100
1d	163	BWTandem-H (id 0.72)	BP Prec. (%)	53.86	53.86	REJECTED	results/regen/score_table1_p100.txt: native BWT-H-p100
1d	163	BWTandem-H (id 0.72)	Support rate (%)	78.08	78.08	REJECTED	results/regen/score_table1_p100.txt: native BWT-H-p100
1d	163	BWTandem-H (id 0.72)	Runtime (h)	4.1	04:04:46	BLOCKED-ON-MISSING-ARTIFACT	results/manifest.tsv; original sacct absent for 6143150_3
1d	164	ULTRA	Calls	3,216,710	3216710	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	164	ULTRA	Region Recall (%)	81.62	81.62	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	164	ULTRA	Region Prec. (%)	53.66	53.66	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	164	ULTRA	BP Recall (%)	38.14	38.14	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	164	ULTRA	BP Prec. (%)	61.33	61.33	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	164	ULTRA	Support rate (%)	78.44	78.44	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	164	ULTRA	Runtime (h)	29.8	29.78027777777777777777777778	REJECTED	results/competitor_logs/ultra__GCA_000001405.15_GRCh38_genomic_run.log
1d	165	tantan	Calls	3,319,523	3319523	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	165	tantan	Region Recall (%)	78.00	78.00	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	165	tantan	Region Prec. (%)	57.66	57.66	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	165	tantan	BP Recall (%)	23.54	23.54	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	165	tantan	BP Prec. (%)	70.22	70.22	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	165	tantan	Support rate (%)	82.93	82.93	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	165	tantan	Runtime (h)	0.9	0.8630388888888888888888888889	REJECTED	results/competitor_logs/tantan__GCA_000001405.15_GRCh38_genomic_run.log
1d	166	TRF	Calls	912,084	912084	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	166	TRF	Region Recall (%)	30.80	30.80	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	166	TRF	Region Prec. (%)	94.73	94.73	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	166	TRF	BP Recall (%)	20.81	20.81	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	166	TRF	BP Prec. (%)	93.16	93.16	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	166	TRF	Support rate (%)	99.99	99.99	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	166	TRF	Runtime (h)	33.7	33.72944444444444444444444444	REJECTED	results/competitor_logs/trf__GCA_000001405.15_GRCh38_genomic_run.log
1d	167	TRASH	Calls	3,707	3707	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	167	TRASH	Region Recall (%)	0.91	0.91	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	167	TRASH	Region Prec. (%)	96.98	96.98	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	167	TRASH	BP Recall (%)	5.01	5.01	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	167	TRASH	BP Prec. (%)	54.49	54.49	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	167	TRASH	Support rate (%)	100.00	100.00	REJECTED	results/regen/score_table1_p100.txt: MATCHED and banded support
1d	167	TRASH	Runtime (h)	107.6	107.6266666666666666666666667	REJECTED	results/competitor_logs/trash__GCA_000001405.15_GRCh38_genomic_run.log
1e	173	TRASH	Support rate, published rule (%)	99.86	99.86	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	173	TRASH	Support rate, leave-one-out (%)	100.00	100.00	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	174	TRF	Support rate, published rule (%)	99.94	99.94	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	174	TRF	Support rate, leave-one-out (%)	99.99	99.99	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	175	tantan	Support rate, published rule (%)	82.93	82.93	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	175	tantan	Support rate, leave-one-out (%)	87.98	87.98	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	176	BWTandem	Support rate, published rule (%)	79.45	79.45	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	176	BWTandem	Support rate, leave-one-out (%)	79.82	79.82	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	177	ULTRA	Support rate, published rule (%)	78.44	78.44	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
1e	177	ULTRA	Support rate, leave-one-out (%)	86.78	86.78	REJECTED	results/regen/score_table1_p100.txt: full-range support blocks
2	197	TRF	Regions	27,538	27538	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	197	TRF	Cen. Coverage (%)	84.39	84.3861106616844	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	197	TRF	CEN180 Count	191	191	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	197	TRF	CEN180 BP Prec. (%)	82.79	82.78886150845806	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	197	TRF	CEN180 Monomer Recall (%)	97.55	97.54960034791476	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	197	TRF	Runtime (h)	131.9	131.95	CONFIRMED	results/competitor_logs/trf__Col-CEN_v1.2_run.log
2	197	TRF	Memory (GiB)	1.26	1.26116180419921875	REJECTED	results/competitor_logs/trf__Col-CEN_v1.2_run.log
2	198	mreps	Regions	27,762	27762	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/mreps_colcen_150_400.bed; pass3-checks.py colcen
2	198	mreps	Cen. Coverage (%)	58.48	58.47613517554462	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/mreps_colcen_150_400.bed; pass3-checks.py colcen
2	198	mreps	CEN180 Count	25,021	25021	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/mreps_colcen_150_400.bed; pass3-checks.py colcen
2	198	mreps	CEN180 BP Prec. (%)	98.33	98.32666054133192	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/mreps_colcen_150_400.bed; pass3-checks.py colcen
2	198	mreps	CEN180 Monomer Recall (%)	78.45	78.45327894665807	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/mreps_colcen_150_400.bed; pass3-checks.py colcen
2	198	mreps	Runtime (h)	0.12	0.1158333333333333333333333333	REJECTED	sacct:5981987.batch
2	198	mreps	Memory (GiB)	0.17	0.169956207275390625	REJECTED	sacct:5981987.batch
2	199	ULTRA	Regions	150,122	150122	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_colcen_p500.bed; pass3-checks.py colcen
